Index,PDB Code,Class,Region
d2eb8a1,2eb8,all-a,A:0-153
d2pega1,2peg,all-a,A:1-142
d2hgq11,2hgq,all-a,1:1-67
d2qamx1,2qam,all-a,X:1-63
d2hepa1,2hep,all-a,A:1-42
d2hjqa1,2hjq,all-a,A:50-103
d2outa1,2out,all-a,A:94-131
d2dk4a1,2dk4,all-a,A:8-70
d2izva1,2izv,all-a,A:386-429
d2c9wa1,2c9w,all-a,A:149-198
d3cqzf1,3cqz,all-a,F:72-155
d3cx5d1,3cx5,all-a,D:62-260
d2vhda1,2vhd,all-a,A:1-164
d2vhda2,2vhd,all-a,A:165-323
d2ecba1,2ecb,all-a,A:8-83
d2ajea1,2aje,all-a,A:9-105
d2iu5a1,2iu5,all-a,A:1-71
d2hyja1,2hyj,all-a,A:8-82
d2hkua1,2hku,all-a,A:18-87
d2oi8a1,2oi8,all-a,A:8-86
d2o7ta1,2o7t,all-a,A:1-78
d3c07a1,3c07,all-a,A:15-89
d2jn6a1,2jn6,all-a,A:1-89
d2o3fa1,2o3f,all-a,A:1-83
d2oz6a1,2oz6,all-a,A:143-213
d2h6ba1,2h6b,all-a,A:148-229
d3deua1,3deu,all-a,A:2-141
d2bv6a1,2bv6,all-a,A:5-140
d3ctaa1,3cta,all-a,A:5-89
d3broa1,3bro,all-a,A:3-137
d2g9wa1,2g9w,all-a,A:3-124
d3bwga1,3bwg,all-a,A:5-82
d2hs5a1,2hs5,all-a,A:25-93
d2nrac1,2nra,all-a,C:9-151
d2nrac2,2nra,all-a,C:152-268
d2p6ra1,2p6r,all-a,A:404-488
d2hyec1,2hye,all-a,C:676-759
d2pg4a1,2pg4,all-a,A:1-92
d2co5a1,2co5,all-a,A:5-93
d2od5a1,2od5,all-a,A:6-96
d2obpa1,2obp,all-a,A:12-92
d2p8ta1,2p8t,all-a,A:14-82
d2htja1,2htj,all-a,A:1-73
d2ipqx1,2ipq,all-a,X:396-528
d3bz6a1,3bz6,all-a,A:13-96
d3bz6a2,3bz6,all-a,A:97-180
d2ns0a1,2ns0,all-a,A:1-85
d2hgca1,2hgc,all-a,A:5-82
d2vqca1,2vqc,all-a,A:4-73
d1s6la1,1s6l,all-a,A:21-80
d2a5yb1,2a5y,all-a,B:386-543
d2doaa1,2doa,all-a,A:8-98
d2gmga1,2gmg,all-a,A:1-105
d1zela1,1zel,all-a,A:1-82
d2v7fa1,2v7f,all-a,A:2-150
d2dk8a1,2dk8,all-a,A:8-75
d2dk5a1,2dk5,all-a,A:8-85
d2oa4a1,2oa4,all-a,A:1-93
d1y39a1,1y39,all-a,A:2-75
d2dofa1,2dof,all-a,A:888-959
d2doea1,2doe,all-a,A:784-853
d2doda1,2dod,all-a,A:651-719
d2b7ea1,2b7e,all-a,A:4-59
d2g3qa1,2g3q,all-a,A:1339-1381
d1wrda1,1wrd,all-a,A:215-307
d2qalt1,2qal,all-a,T:2-86
d3d5rc1,3d5r,all-a,C:11-75
d2oo2a1,2oo2,all-a,A:1-75
d2pmra1,2pmr,all-a,A:3-77
d2nn4a1,2nn4,all-a,A:1-62
d2gsva1,2gsv,all-a,A:3-69
d2j8wa1,2j8w,all-a,A:1-128
d1yaro1,1yar,all-a,O:4-231
d2ooca1,2ooc,all-a,A:8-111
d2qy9a1,2qy9,all-a,A:201-284
d2p61a1,2p61,all-a,A:34-152
d2oc5a1,2oc5,all-a,A:20-241
d2itba1,2itb,all-a,A:3-201
d2oh3a1,2oh3,all-a,A:3-154
d2ib0a1,2ib0,all-a,A:17-158
d2gtsa1,2gts,all-a,A:4-80
d2nr5a1,2nr5,all-a,A:1-64
d2e9wc1,2e9w,all-a,C:2-140
d2z3qa1,2z3q,all-a,A:1-114
d2oqpa1,2oqp,all-a,A:2-134
d3besl1,3bes,all-a,L:0-126
d2jq4a1,2jq4,all-a,A:1-83
d3dika1,3dik,all-a,A:148-219
d2rnwa1,2rnw,all-a,A:715-832
d2bl8a1,2bl8,all-a,A:4-103
d3d19a1,3d19,all-a,A:11-144
d3d19a2,3d19,all-a,A:145-274
d3dbya1,3dby,all-a,A:5-125
d3dbya2,3dby,all-a,A:126-260
d2qzga1,2qzg,all-a,A:4-91
d2qsba1,2qsb,all-a,A:2-86
d2hi7b1,2hi7,all-a,B:14-162
d2gsca1,2gsc,all-a,A:9-125
d2rlda1,2rld,all-a,A:1-115
d2hgka1,2hgk,all-a,A:1-109
d2db7a1,2db7,all-a,A:3-57
d2ofya1,2ofy,all-a,A:3-84
d2ppxa1,2ppx,all-a,A:30-91
d2icta1,2ict,all-a,A:8-94
d2ox6a1,2ox6,all-a,A:5-166
d2grma1,2grm,all-a,A:1-69
d2o38a1,2o38,all-a,A:28-116
d2asxa1,2asx,all-a,A:278-331
d2q91a1,2q91,all-a,A:2-97
d2jwwa1,2jww,all-a,A:1-109
d2zkmx1,2zkm,all-a,X:142-311
d2jpoa1,2jpo,all-a,A:1-142
d2rd6a1,2rd6,all-a,A:1-137
d1x93a1,1x93,all-a,A:31-73
d2rh3a1,2rh3,all-a,A:82-202
d2ay0a1,2ay0,all-a,A:3-45
d2efva1,2efv,all-a,A:6-87
d3csha1,3csh,all-a,A:78-209
d2hrkb1,2hrk,all-a,B:4-121
d2okua1,2oku,all-a,A:443-564
d2i5ua1,2i5u,all-a,A:2-75
d2oy9a1,2oy9,all-a,A:6-90
d2j01u1,2j01,all-a,U:2-118
d2p1aa1,2p1a,all-a,A:1-142
d2ou6a1,2ou6,all-a,A:2-184
d2hkva1,2hkv,all-a,A:1-147
d2oqma1,2oqm,all-a,A:1-171
d2nsfa1,2nsf,all-a,A:1-160
d2dkya1,2dky,all-a,A:8-85
d3bzka1,3bzk,all-a,A:474-563
d3bzka2,3bzk,all-a,A:564-636
d2duya1,2duy,all-a,A:11-75
d2edua1,2edu,all-a,A:8-98
d3c5ga1,3c5g,all-a,A:249-327
d2vana1,2van,all-a,A:91-148
d2axtu1,2axt,all-a,U:37-134
d2o6ka1,2o6k,all-a,A:4-73
d3ci0k1,3ci0,all-a,K:204-274
d3ci0k2,3ci0,all-a,K:94-203
d2gnxa1,2gnx,all-a,A:123-294
d2p6va1,2p6v,all-a,A:582-678
d2pp4a1,2pp4,all-a,A:119-225
d2hh6a1,2hh6,all-a,A:1-112
d2oeba1,2oeb,all-a,A:2-153
d2ehob1,2eho,all-a,B:1-145
d2e9xb1,2e9x,all-a,B:62-173
d2e9xc1,2e9x,all-a,C:1088-1192
d2e9xd1,2e9x,all-a,D:21-165
d2pyqa1,2pyq,all-a,A:1-113
d2i53a1,2i53,all-a,A:14-157
d2i53a2,2i53,all-a,A:158-267
d2ivxa2,2ivx,all-a,A:150-262
d3blhb2,3blh,all-a,B:5-150
d1w98b1,1w98,all-a,B:228-357
d1w98b2,1w98,all-a,B:88-227
d2nufa1,2nuf,all-a,A:2-150
d2vqeg1,2vqe,all-a,G:2-156
d3bgea1,3bge,all-a,A:251-434
d2r9ga1,2r9g,all-a,A:238-423
d2pbea1,2pbe,all-a,A:138-282
d1x4pa1,1x4p,all-a,A:8-60
d2dt6a1,2dt6,all-a,A:48-110
d2dt7b1,2dt7,all-a,B:134-217
d2py8a1,2py8,all-a,A:2-121
d2piha1,2pih,all-a,A:2-124
d2iaza1,2iaz,all-a,A:1-111
d2oeqa1,2oeq,all-a,A:3-115
d2gqba1,2gqb,all-a,A:1-130
d2fmme1,2fmm,all-a,E:9-124
d2elba1,2elb,all-a,A:6-273
d2efla1,2efl,all-a,A:1-288
d2otaa1,2ota,all-a,A:7-68
d2juza1,2juz,all-a,A:1-72
d2jpqa1,2jpq,all-a,A:1-75
d2a5yb2,2a5y,all-a,B:1-108
d2hs5a2,2hs5,all-a,A:94-231
d3c8ga1,3c8g,all-a,A:1-168
d3brja1,3brj,all-a,A:6-172
d2pv4a1,2pv4,all-a,A:1-144
d2dfka1,2dfk,all-a,A:37-239
d2ou3a1,2ou3,all-a,A:1-160
d2h5na1,2h5n,all-a,A:1-132
d2joka1,2jok,all-a,A:78-261
d2q37a1,2q37,all-a,A:6-160
d2o70a1,2o70,all-a,A:2-166
d2o8ia1,2o8i,all-a,A:1-165
d2q0zx1,2q0z,all-a,X:33-208
d2p6ra2,2p6r,all-a,A:489-686
d2jtia1,2jti,all-a,A:1-294
d2p0ta1,2p0t,all-a,A:22-169
d2i15a1,2i15,all-a,A:1-129
d2pq7a1,2pq7,all-a,A:1-217
d3b57a1,3b57,all-a,A:1-201
d2qgsa1,2qgs,all-a,A:1-216
d2gz4a1,2gz4,all-a,A:6-205
