Index,PDB Code,Class,Region
d1dlwa_,1dlw,all-a,A:
d1s69a_,1s69,all-a,A:
d1idra_,1idr,all-a,A:
d1ngka_,1ngk,all-a,A:
d1ux8a_,1ux8,all-a,A:
d1kr7a_,1kr7,all-a,A:
d3sdha_,3sdh,all-a,A:
d1b0ba_,1b0b,all-a,A:
d1h97a_,1h97,all-a,A:
d1jl7a_,1jl7,all-a,A:
d1a6ma_,1a6m,all-a,A:
d1mbaa_,1mba,all-a,A:
d1ecaa_,1eca,all-a,A:
d2gdma_,2gdm,all-a,A:
d1irda_,1ird,all-a,A:
d1gcva_,1gcv,all-a,A:
d2h8fb1,2h8f,all-a,B:1-146
d1cg5b_,1cg5,all-a,B:
d1gcwb_,1gcw,all-a,B:
d1it2a_,1it2,all-a,A:
d1asha_,1ash,all-a,A:
d1itha_,1ith,all-a,A:
d1hlba_,1hlb,all-a,A:
d1q1fa_,1q1f,all-a,A:
d1cqxa1,1cqx,all-a,A:1-150
d1ew6a_,1ew6,all-a,A:
d1or4a_,1or4,all-a,A:
d1urva_,1urv,all-a,A:
d1tu9a_,1tu9,all-a,A:
d1x9fa_,1x9f,all-a,A:
d1x9fb_,1x9f,all-a,B:
d1x9fc_,1x9f,all-a,C:
d1jboa_,1jbo,all-a,A:
d1alla_,1all,all-a,A:
d1allb_,1all,all-a,B:
d1b8da_,1b8d,all-a,A:
d1xg0c_,1xg0,all-a,C:
d1nekb1,1nek,all-a,B:107-238
d1kf6b1,1kf6,all-a,B:106-243
d2bs2b1,2bs2,all-a,B:107-239
d1h7wa1,1h7w,all-a,A:2-183
d1grja1,1grj,all-a,A:2-79
d2f23a1,2f23,all-a,A:3-77
d1jj2u_,1jj2,all-a,U:
d2j0121,2j01,all-a,2:12-62
d2gyaw1,2gya,all-a,W:1-60
d1fpoa1,1fpo,all-a,A:1-76
d1hdja_,1hdj,all-a,A:
d1nz6a_,1nz6,all-a,A:
d1iura_,1iur,all-a,A:
d1fafa_,1faf,all-a,A:
d1gh6a_,1gh6,all-a,A:
d1wjza_,1wjz,all-a,A:
d1fxkc_,1fxk,all-a,C:
d1fxka_,1fxk,all-a,A:
d1cxzb_,1cxz,all-a,B:
d1urfa_,1urf,all-a,A:
d1seta1,1set,all-a,A:1-110
d2iy5a1,2iy5,all-a,A:15-84
d1ivsa1,1ivs,all-a,A:797-862
d1lrza1,1lrz,all-a,A:245-309
d1k4ta1,1k4t,all-a,A:641-712
d1qoja_,1qoj,all-a,A:
d1aqta1,1aqt,all-a,A:87-136
d2jdih1,2jdi,all-a,H:102-145
d1my6a1,1my6,all-a,A:1-88
d1coja1,1coj,all-a,A:2-90
d1wb8a1,1wb8,all-a,A:4-92
